Source Name	Comment [ENA_SAMPLE]	Comment [BioSD_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Characteristics[organism part]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics [cell type]	Characteristics [genotype]	Characteristics [single cell quality]	Characteristics [submitted single cell quality]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[single cell isolation]	Comment[input molecule]	Comment[library construction]	Comment[end bias]	Comment[primer]	Comment[spike in]	Comment[spike in dilution]	Comment [UMI barcode]	Comment[LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Protocol REF	Protocol REF	Assay Name	Comment[technical replicate group]	Technology Type	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue[single cell identifier]	FactorValue [cell type]
GSM2669936 1	SRS2287048	SAMN07246138	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_729-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669936 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4196	P-GSE100058-5	P-GSE100058-6	GSM2669936	not applicable	sequencing assay	SRX2921191	NextSeq 550 (Drosophila melanogaster)	SRR5686405_2.fastq.gz	SRR5686405	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/005/SRR5686405/SRR5686405_2.fastq.gz	N289Barcode_729-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669936 1	SRS2287048	SAMN07246138	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_729-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669936 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4197	P-GSE100058-5	P-GSE100058-6	GSM2669936	not applicable	sequencing assay	SRX2921191	NextSeq 550 (Drosophila melanogaster)	SRR5686405_1.fastq.gz	SRR5686405	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/005/SRR5686405/SRR5686405_1.fastq.gz	N289Barcode_729-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669935 1	SRS2287047	SAMN07246139	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_728-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669935 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4198	P-GSE100058-5	P-GSE100058-6	GSM2669935	not applicable	sequencing assay	SRX2921190	NextSeq 550 (Drosophila melanogaster)	SRR5686404_2.fastq.gz	SRR5686404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/004/SRR5686404/SRR5686404_2.fastq.gz	N289Barcode_728-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669935 1	SRS2287047	SAMN07246139	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_728-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669935 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4199	P-GSE100058-5	P-GSE100058-6	GSM2669935	not applicable	sequencing assay	SRX2921190	NextSeq 550 (Drosophila melanogaster)	SRR5686404_1.fastq.gz	SRR5686404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/004/SRR5686404/SRR5686404_1.fastq.gz	N289Barcode_728-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669934 1	SRS2287046	SAMN07246140	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_727-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669934 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4200	P-GSE100058-5	P-GSE100058-6	GSM2669934	not applicable	sequencing assay	SRX2921189	NextSeq 550 (Drosophila melanogaster)	SRR5686403_2.fastq.gz	SRR5686403	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/003/SRR5686403/SRR5686403_2.fastq.gz	N289Barcode_727-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669934 1	SRS2287046	SAMN07246140	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_727-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669934 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4201	P-GSE100058-5	P-GSE100058-6	GSM2669934	not applicable	sequencing assay	SRX2921189	NextSeq 550 (Drosophila melanogaster)	SRR5686403_1.fastq.gz	SRR5686403	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/003/SRR5686403/SRR5686403_1.fastq.gz	N289Barcode_727-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669933 1	SRS2287049	SAMN07246141	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_726-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669933 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4202	P-GSE100058-5	P-GSE100058-6	GSM2669933	not applicable	sequencing assay	SRX2921188	NextSeq 550 (Drosophila melanogaster)	SRR5686402_2.fastq.gz	SRR5686402	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/002/SRR5686402/SRR5686402_2.fastq.gz	N289Barcode_726-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669933 1	SRS2287049	SAMN07246141	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_726-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669933 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4203	P-GSE100058-5	P-GSE100058-6	GSM2669933	not applicable	sequencing assay	SRX2921188	NextSeq 550 (Drosophila melanogaster)	SRR5686402_1.fastq.gz	SRR5686402	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/002/SRR5686402/SRR5686402_1.fastq.gz	N289Barcode_726-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669932 1	SRS2287045	SAMN07246142	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_724-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669932 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4204	P-GSE100058-5	P-GSE100058-6	GSM2669932	not applicable	sequencing assay	SRX2921187	NextSeq 550 (Drosophila melanogaster)	SRR5686401_2.fastq.gz	SRR5686401	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/001/SRR5686401/SRR5686401_2.fastq.gz	N289Barcode_724-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669932 1	SRS2287045	SAMN07246142	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_724-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669932 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4205	P-GSE100058-5	P-GSE100058-6	GSM2669932	not applicable	sequencing assay	SRX2921187	NextSeq 550 (Drosophila melanogaster)	SRR5686401_1.fastq.gz	SRR5686401	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/001/SRR5686401/SRR5686401_1.fastq.gz	N289Barcode_724-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669931 1	SRS2287044	SAMN07246143	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_723-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669931 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4206	P-GSE100058-5	P-GSE100058-6	GSM2669931	not applicable	sequencing assay	SRX2921186	NextSeq 550 (Drosophila melanogaster)	SRR5686400_2.fastq.gz	SRR5686400	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5686400/SRR5686400_2.fastq.gz	N289Barcode_723-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669931 1	SRS2287044	SAMN07246143	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_723-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669931 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4207	P-GSE100058-5	P-GSE100058-6	GSM2669931	not applicable	sequencing assay	SRX2921186	NextSeq 550 (Drosophila melanogaster)	SRR5686400_1.fastq.gz	SRR5686400	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5686400/SRR5686400_1.fastq.gz	N289Barcode_723-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669930 1	SRS2287042	SAMN07246144	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_722-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669930 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4208	P-GSE100058-5	P-GSE100058-6	GSM2669930	not applicable	sequencing assay	SRX2921185	NextSeq 550 (Drosophila melanogaster)	SRR5686399_2.fastq.gz	SRR5686399	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5686399/SRR5686399_2.fastq.gz	N289Barcode_722-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669930 1	SRS2287042	SAMN07246144	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_722-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669930 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4209	P-GSE100058-5	P-GSE100058-6	GSM2669930	not applicable	sequencing assay	SRX2921185	NextSeq 550 (Drosophila melanogaster)	SRR5686399_1.fastq.gz	SRR5686399	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5686399/SRR5686399_1.fastq.gz	N289Barcode_722-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669929 1	SRS2287043	SAMN07246145	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_721-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669929 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4210	P-GSE100058-5	P-GSE100058-6	GSM2669929	not applicable	sequencing assay	SRX2921184	NextSeq 550 (Drosophila melanogaster)	SRR5686398_2.fastq.gz	SRR5686398	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5686398/SRR5686398_2.fastq.gz	N289Barcode_721-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669929 1	SRS2287043	SAMN07246145	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_721-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669929 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4211	P-GSE100058-5	P-GSE100058-6	GSM2669929	not applicable	sequencing assay	SRX2921184	NextSeq 550 (Drosophila melanogaster)	SRR5686398_1.fastq.gz	SRR5686398	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5686398/SRR5686398_1.fastq.gz	N289Barcode_721-510	olfactory projection neuron innvervating DC2 glomerulus
GSM2669928 1	SRS2287100	SAMN07246146	Single cell processed data files: df_libs.csv, htseq.tab, STAR.tab	olfactory projection neuron innvervating DC2 glomerulus	91G04-GFP [N289Barcode_720-510]	Drosophila melanogaster	brain	mixed sex population	pupal stage	olfactory projection neuron innvervating DC2 glomerulus	91G04-GAL4	OK	1	cell	P-GSE100058-1	P-GSE100058-2	P-GSE100058-3	P-GSE100058-4	GSM2669928 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	none	not applicable	none	not applicable	PAIRED	transcriptomic	OTHER	other	Illumina NextSeq 4212	P-GSE100058-5	P-GSE100058-6	GSM2669928	not applicable	sequencing assay	SRX2921183	NextSeq 550 (Drosophila melanogaster)	SRR5686397_2.fastq.gz	SRR5686397	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5686397/SRR5686397_2.fastq.gz	N289Barcode_720-510	olfactory projection neuron innvervating DC2 glomerulus
